"mon_feature_id","date_time","sample_begin_depth","institution_abbr","preservative_abbr","Ca_Diss_Water","Cl_Diss_Water","DMS_Tot_Water","EC_Phys_Water","F_Diss_Water","K_Diss_Water","KJEL_N_Tot_Water","Mg_Diss_Water","Na_Diss_Water","NH4_N_Diss_Water","NO3_NO2_N_Diss_Water","P_Tot_Water","pH_Diss_Water","PO4_P_Diss_Water","Si_Diss_Water","SO4_Diss_Water","TAL_Diss_Water","Station","Qat"
102619,1976-12-19 07:00:00,0,"DWS-RQIS","NONE",4,1.5,46,6.3,0.05,0.78,#n/a,3.1,2.6,0.02,0.02,#n/a,7.01,0.003,6.33,2,28.1,"U1H005Q01","U10F"
102619,1976-12-26 07:15:00,0,"DWS-RQIS","NONE",3.4,1.5,41,6,0.05,1.45,#n/a,2.3,2.4,0.02,0.02,#n/a,6.98,0.003,6.14,2,24.3,"U1H005Q01","U10F"
102619,1977-01-02 07:20:00,0,"DWS-RQIS","NONE",4,9,49,5.2,0.18,1.92,#n/a,2,3,0.04,0.06,#n/a,6.68,0.007,5.56,2,23,"U1H005Q01","U10F"
102619,1977-01-06 13:00:00,0,"DWS-RQIS","NONE",4.5,1.5,37,5.1,0.16,0.52,#n/a,2,2.7,0.02,0.06,#n/a,7.02,0.011,6.26,2,21.2,"U1H005Q01","U10F"
102619,1977-01-09 07:45:00,0,"DWS-RQIS","NONE",4,9,51,5.7,0.17,2.3,#n/a,2,3,0.06,0.07,#n/a,6.69,0.003,5.66,2,23,"U1H005Q01","U10F"
102619,1977-01-16 08:00:00,0,"DWS-RQIS","NONE",4.5,1.5,45,5.8,0.15,0.89,#n/a,1.9,3,0.02,0.06,#n/a,6.98,0.011,6.03,2,27.7,"U1H005Q01","U10F"
102619,1977-01-23 07:30:00,0,"DWS-RQIS","NONE",5.8,1.5,57,7,0.15,0.88,#n/a,3.3,3.5,0.02,0.06,#n/a,7.01,0.007,6.97,2,34.4,"U1H005Q01","U10F"
102619,1977-01-30 08:00:00,0,"DWS-RQIS","NONE",3.9,1.5,37,4.3,0.18,1.18,#n/a,2.9,2.8,0.02,0.06,#n/a,6.74,0.007,5.62,2,20.2,"U1H005Q01","U10F"
102619,1977-02-13 17:00:00,0,"DWS-RQIS","NONE",4.2,1.5,49,5.5,0.1,0.37,#n/a,1.9,2.3,0.02,0.12,#n/a,7.03,0.011,6.63,2,30.5,"U1H005Q01","U10F"
102619,1977-02-20 15:15:00,0,"DWS-RQIS","NONE",4,1.5,39,5.4,0.05,0.34,#n/a,1,2,0.02,0.05,#n/a,6.99,0.011,6.3,2,24.6,"U1H005Q01","U10F"
102619,1977-02-27 17:00:00,0,"DWS-RQIS","NONE",4,1.5,38,5.3,0.05,0.15,#n/a,1,2,0.02,0.05,#n/a,7.06,0.011,6.42,2,23.8,"U1H005Q01","U10F"
102619,1977-03-13 17:00:00,0,"DWS-RQIS","NONE",17.6,4,106,13.3,0.22,0.82,#n/a,4.8,4.3,0.02,0.07,#n/a,7.36,0.05,6.61,2,60.9,"U1H005Q01","U10F"
